repeat,random_state,noise_percent,method,theta,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score
4,46,15,MI-DL,0.7838072658182772,0.249493601572644,0.0005063984273560029,0.0020255937094240117,0.028863828773615048,1.441648108916323,
4,46,15,SI-DL,0.7780820636848012,0.24767121313315804,0.0023287868668419587,0.009315147467367835,0.025697904545597172,,0.9743020954544028
4,46,20,MI-DL,0.7776807097961003,0.24754345822252624,0.0024565417774737586,0.009826167109895034,0.045074366105051486,1.2935629092108742,
4,46,20,SI-DL,0.7765109452316558,0.24717111059715607,0.002828889402843926,0.011315557611375704,0.04095744167260096,,0.959042558327399
4,46,25,MI-DL,0.7871739148285448,0.25056523923592305,0.000565239235923054,0.002260956943692216,0.06570077962646967,1.1739079671375192,
4,46,25,SI-DL,0.7750714294682242,0.24671289849833838,0.0032871015016616156,0.013148406006646463,0.05974147100063398,,0.940258528999366
4,46,30,MI-DL,0.7718703231460692,0.24569395470927102,0.004306045290728977,0.017224181162915908,0.07997424578519742,1.0799374919641487,
4,46,30,SI-DL,0.7737406347074735,0.24628929336950983,0.003710706630490168,0.014842826521960673,0.08156004494237834,,0.9184399550576217
5,47,0,MI-DL,0.7809595123060169,0.24858713347627692,0.0014128665237230775,0.00565146609489231,0.005114630128793924,2.068074582927454,
5,47,0,SI-DL,0.785428001524024,0.25000949777067427,9.4977706742716e-06,3.79910826970864e-05,0.007309783745794718,,0.9926902162542053
5,47,5,MI-DL,0.7774781613219063,0.24747898504075885,0.002521014959241147,0.010084059836964587,0.010424814119372327,1.8918769114344345,
5,47,5,SI-DL,0.7850567169203281,0.24989131421073002,0.00010868578926997996,0.00043474315707991984,0.009443442220240184,,0.9905565577797598
5,47,10,MI-DL,0.7840247443526746,0.24956282714017541,0.0004371728598245861,0.0017486914392983444,0.01814897188198057,1.6834657043813257,
5,47,10,SI-DL,0.7846758965947802,0.2497700953362484,0.00022990466375161223,0.0009196186550064489,0.016097891633594097,,0.9839021083664059
5,47,15,MI-DL,0.7864488929352649,0.25033445759959233,0.00033445759959233046,0.0013378303983693218,0.03120868780414474,1.5155007784100558,
5,47,15,SI-DL,0.7842897673062276,0.24964718656635698,0.00035281343364301776,0.001411253734572071,0.02706847761061204,,0.972931522389388
5,47,20,MI-DL,0.7873840947780179,0.2506321415917179,0.0006321415917179274,0.0025285663668717095,0.04579857467153666,1.3594278618423754,
5,47,20,SI-DL,0.7839014384421081,0.24952357764981725,0.00047642235018274803,0.0019056894007309921,0.04204163468829902,,0.957958365311701
5,47,25,MI-DL,0.7843591397605175,0.2496692685043863,0.00033073149561368975,0.001322925982454759,0.06545252751710053,1.2185584185917389,
5,47,25,SI-DL,0.7835132682898527,0.24940001925283287,0.0005999807471671337,0.0023999229886685347,0.06061556557775183,,0.9393844344222482
5,47,30,MI-DL,0.7688739442907535,0.24474017769687198,0.00525982230312802,0.02103928921251208,0.08531883091442612,1.1121356314129178,
5,47,30,SI-DL,0.783125425224993,0.2492765649710002,0.0007234350289997971,0.0028937401159991882,0.08232485143502077,,0.9176751485649792
6,48,0,MI-DL,0.7859867443998705,0.25018735115189095,0.00018735115189094653,0.0007494046075637861,0.005218641948240205,2.030677395541921,
6,48,0,SI-DL,0.7859034256910732,0.2501608299831767,0.00016082998317668018,0.0006433199327067207,0.006014967822619344,,0.9939850321773807
6,48,5,MI-DL,0.7808211693155097,0.24854309753471426,0.0014569024652857365,0.005827609861142946,0.009597503593266032,1.8533213292658948,
6,48,5,SI-DL,0.7821290464742714,0.24895940776426206,0.001040592235737936,0.004162368942951744,0.008115201936053307,,0.9918847980639467
